School,County,religious_affiliation,funding
Wayne Christian School Goldsboro,Wayne,Christian,"$2,941,533 "
Harvest Time Christian Academy Wilkesboro,Wilkes,Christian,"$592,966 "
Millers Creek Christian School Millers Creek,Wilkes,Christian,"$665,219 "
Community Christian School Wilson,Wilson,Christian,"$1,283,372 "
Garnett Christian Academy Elm City,Wilson,Christian,"$236,264 "
Rosebud Christian Academy Wilson,Wilson,Christian,"$85,508 "
Wilson Christian Academy Wilson,Wilson,Christian,"$1,906,791 "
Genesis Academy Burnsville,Yancey,Christian,"$123,528 "
The Academy Hamlet,Richmond,Christian,"$111,450 "
The Chosen One's Red Springs,Robeson,Christian,"$6,722 "
Al-Huda Academy Durham,Durham,Islamic,"$934,625 "
Greensboro Islamic Academy Greensboro,Guilford,Islamic,"$1,737,066 "
Ibn Sina Islamic Academy Colfax,Guilford,Islamic,"$107,702 "
Charlotte Islamic Academy Charlotte,Mecklenburg,Islamic,"$1,139,070 "
Intellicor International Academy Charlotte,Mecklenburg,Islamic,"$2,201,635 "
Al-Huda Academy at North Raleigh,Wake,Islamic,"$102,302 "
Al-Iman School Raleigh,Wake,Islamic,"$1,570,730 "
An-Noor School Raleigh,Wake,Islamic,"$368,504 "
Madinah Quran Academy Raleigh,Wake,Islamic,"$253,678 "
Mishkah Academy Cary,Wake,Islamic,"$176,620 "
Lerner School (Jewish for Good) Durham,Durham,Jewish,"$72,822 "
B'nai Shalom Day School Greensboro,Guilford,Jewish,"$324,961 "
Charlotte Jewish Day School Charlotte,Mecklenburg,Jewish,"$451,408 "
Chabad Torah Academy Morrisville,Wake,Jewish,"$118,742 "
Scholars Academy of Albemarle Albemarle,Stanly,Secular,"$169,154 "
Burbrella Microschool Burlington,Alamance,Secular,"$196,072 "
The Burlington School Burlington,Alamance,Secular,"$1,359,653 "
Lawrence Academy Merry Hill,Bertie,Secular,"$865,454 "
Wild Forest Academy Leland,Brunswick,Secular,"$36,369 "
Asheville Montessori School Asheville,Buncombe,Secular,"$3,360 "
Asheville Waldorf School Asheville,Buncombe,Secular,"$360,479 "
Black Mountain Montessori Black Mountain,Buncombe,Secular,"$91,858 "
French Broad River Academy Asheville,Buncombe,Secular,"$317,283 "
Friends-Montessori School Asheville,Buncombe,Secular,"$180,725 "
Hanger Hall School for Girls Asheville,Buncombe,Secular,"$176,236 "
Learning Community School Swannanoa,Buncombe,Secular,"$249,196 "
Montessori Learning Community - West Asheville,Buncombe,Secular,"$3,361 "
Montessori Learning Community Asheville,Buncombe,Secular,"$11,202 "
New Classical Academy Asheville,Buncombe,Secular,"$168,220 "
Odyssey Community School Asheville,Buncombe,Secular,"$398,977 "
Morganton Day School Morganton,Burke,Secular,"$282,274 "
CPath Academy Concord,Cabarrus,Secular,"$53,777 "
Cannon School Concord,Cabarrus,Secular,"$651,928 "
Teaching Achieving Students Academy Harrisburg,Cabarrus,Secular,"$66,082 "
Hickory Day School Hickory,Catawba,Secular,"$307,994 "
Montessori at Sandy Ford School Newton,Catawba,Secular,"$192,572 "
Jordan Lake School of The Arts Apex,Chatham,Secular,"$58,252 "
"Bear Town Academy, LLC New Bern",Craven,Secular,"$279,680 "
Birds Nest Montessori School Fayetteville,Cumberland,Secular,"$36,270 "
Fayetteville Academy Fayetteville,Cumberland,Secular,"$1,219,848 "
First Impressions Academy Fayetteville,Cumberland,Secular,"$1,036,534 "
The School of Hope Fayetteville,Cumberland,Secular,"$344,466 "
Heron Pond Montessori School Kitty Hawk,Dare,Secular,"$84,390 "
ABC of NC Child Develop. Ctr. Winston-Salem,Davidson,Secular,"$197,732 "
SOAR Academy Advance,Davie,Secular,"$21,965 "
Camelot Academy Durham,Durham,Secular,"$161,424 "
Durham Nativity School Durham,Durham,Secular,"$176,802 "
Empowered Minds Academy Durham,Durham,Secular,"$90,734 "
Gift of Knowledge Academy Durham,Durham,Secular,"$30,596 "
Hill Learning Center Durham,Durham,Secular,"$300,199 "
Hope Creek Academy Durham,Durham,Secular,"$101,748 "
Insight Colearning Center Durham,Durham,Secular,"$111,830 "
International Montessori School Durham,Durham,Secular,"$144,600 "
Montessori Farm School Durham,Durham,Secular,"$8,960 "
Montessori School of Raleigh Durham,Durham,Secular,"$3,360 "
My Dynamic Academy Raleigh,Durham,Secular,"$14,936 "
NC Good Better Best Academy Durham,Durham,Secular,"$37,107 "
Southpoint Academy Durham,Durham,Secular,"$328,593 "
Triangle Day School Durham,Durham,Secular,"$301,686 "
"Forsyth Country Day School, Inc. Lewisville",Forsyth,Secular,"$796,869 "
Hampton Education Academy Winston Salem,Forsyth,Secular,"$137,426 "
Montessori School of Winston-Salem Clemmons,Forsyth,Secular,"$25,991 "
Salem Academy Winston-Salem,Forsyth,Secular,"$171,332 "
Salem Montessori School Winston-Salem,Forsyth,Secular,"$213,521 "
Westlawn Winston Salem,Forsyth,Secular,"$29,682 "
Gaston Day School Gastonia,Gaston,Secular,"$639,229 "
Naturally Nourished Tutoring Service LLC Oxford,Granville,Secular,"$59,840 "
Clara Science Academy Greensboro,Guilford,Secular,"$190,060 "
Greensboro Montessori School Greensboro,Guilford,Secular,"$491,213 "
High Point Friends School High Point,Guilford,Secular,"$171,761 "
Impact Journey School Greensboro,Guilford,Secular,"$151,408 "
Lionheart Academy of the Triad Greensboro,Guilford,Secular,"$286,582 "
Melanin Village Prep High Point,Guilford,Secular,"$310,365 "
New Garden Friends School Greensboro,Guilford,Secular,"$612,161 "
New Independence Academy Goldsboro,Guilford,Secular,"$36,592 "
Noble Academy Greensboro,Guilford,Secular,"$428,463 "
Oak Ridge Military Academy Oak Ridge,Guilford,Secular,"$188,379 "
Piedmont School High Point,Guilford,Secular,"$319,628 "
Westchester Country Day School High Point,Guilford,Secular,"$1,404,694 "
Brighter Days Academy Inc. Roanoke Rapids,Halifax,Secular,"$183,898 "
Littleton Academy Littleton,Halifax,Secular,"$414,851 "
Academy at SOAR Waynesville,Haywood,Secular,"$18,484 "
Heritage Hall International School Hendersonville,Henderson,Secular,"$89,040 "
Visions Educational Academy Henderson,Henderson,Secular,"$69,820 "
Wild Oak Independent School Hendersonville,Henderson,Secular,"$98,574 "
Ridgecroft School Ahoskie,Hertford,Secular,"$970,414 "
Carr Preparatory Academy Raeford,Hoke,Secular,"$209,108 "
Statesville Montessori School Statesville,Iredell,Secular,"$277,059 "
Woodlawn School Mooresville,Iredell,Secular,"$131,405 "
Playmates Child Care and Development Center Pine Level,Johnston,Secular,"$169,529 "
Thales Academy at Flowers Plantation Clayton,Johnston,Secular,"$2,294,896 "
Combine Academy Lincolnton,Lincoln,Secular,"$54,512 "
Woodson Branch Nature School Marshall,Madison,Secular,"$704,610 "
Mountain Laurel Montessori Collective Old Fort,McDowell,Secular,"$282,292 "
ALC Mosaic School Charlotte,Mecklenburg,Secular,"$448,634 "
Anami Montessori School Charlotte,Mecklenburg,Secular,"$22,030 "
British International School of Charlotte Charlotte,Mecklenburg,Secular,"$59,362 "
Charlotte Leadership Academy Charlotte,Mecklenburg,Secular,"$168,032 "
Crossway Academy Charlotte,Mecklenburg,Secular,"$74,310 "
Cyzner Institute Charlotte,Mecklenburg,Secular,"$37,340 "
Davidson Green School Davidson,Mecklenburg,Secular,"$52,646 "
Emerald School of Excellence Charlotte,Mecklenburg,Secular,"$12,321 "
Enlighten Legacy Learning Charlotte,Mecklenburg,Secular,"$40,550 "
Epiphany School of Charlotte Charlotte,Mecklenburg,Secular,"$19,040 "
Fletcher School Charlotte,Mecklenburg,Secular,"$298,131 "
Footprints Learning and Leadership Academy Charlotte,Mecklenburg,Secular,"$107,416 "
Friendship Day School Sciences & Arts Charlotte,Mecklenburg,Secular,"$437,061 "
ILIM School Pineville,Mecklenburg,Secular,"$84,570 "
Ignite Achievement Academy Charlotte,Mecklenburg,Secular,"$148,051 "
Kent Academy Charlotte,Mecklenburg,Secular,"$83,569 "
LAB U PREP Charlotte,Mecklenburg,Secular,"$7,468 "
Omni Montessori School Charlotte,Mecklenburg,Secular,"$176,420 "
Philips Academy of North Carolina Charlotte,Mecklenburg,Secular,"$173,254 "
Phoenix Montessori Academy Huntersville,Mecklenburg,Secular,"$330,600 "
Rainbow Community School Asheville,Mecklenburg,Secular,"$568,957 "
The Halton School Huntersville,Mecklenburg,Secular,"$133,605 "
The John Crosland School Charlotte,Mecklenburg,Secular,"$221,984 "
The Nest Academy Charlotte,Mecklenburg,Secular,"$238,791 "
Spruce Pine Montessori School Spruce Pine,Mitchell,Secular,"$124,410 "
Infinite Minds Academy Biscoe,Montgomery,Secular,"$83,235 "
O'Neal School Southern Pines,Moore,Secular,"$876,668 "
Cape Fear Academy Wilmington,New Hanover,Secular,"$709,158 "
Friends School of Wilmington Wilmington,New Hanover,Secular,"$271,206 "
Hill School Of Wilmington Wilmington,New Hanover,Secular,"$113,760 "
New Horizons Elementary School Wilmington,New Hanover,Secular,"$267,708 "
Peace Rose Montessori Wilmington,New Hanover,Secular,"$241,647 "
Southeastern Autism Academy Wilmington,New Hanover,Secular,"$172,882 "
The School of Wonder Wilmington,New Hanover,Secular,"$289,292 "
"Waterview Learning Academy, LLC Wilmington",New Hanover,Secular,"$141,520 "
Wilmington Academy Of Arts And Sciences Wilmington,New Hanover,Secular,"$193,774 "
Georgetown Village Minded Academy Jacksonville,Onslow,Secular,"$56,760 "
Milestones Academy Jacksonville,Onslow,Secular,"$1,154,684 "
Montessori Children's School Jacksonville,Onslow,Secular,"$344,280 "
North Shore Academy LLC Sneads Ferry,Onslow,Secular,"$333,100 "
One World Montessori LLC Jacksonville,Onslow,Secular,"$692,123 "
Emerson Waldorf School Chapel Hill,Orange,Secular,"$457,276 "
Montessori Day School Of Chapel Hill Chapel Hill,Orange,Secular,"$25,392 "
Pinewoods Montessori School Hillsborough,Orange,Secular,"$91,122 "
Albemarle School Elizabeth City,Pasquotank,Secular,"$926,730 "
"Grace Montessori Academy, Inc. Elizabeth City",Pasquotank,Secular,"$239,732 "
Tutor All School Elizabeth City,Pasquotank,Secular,"$50,090 "
Topsail Montessori Hampstead,Pender,Secular,"$190,051 "
Greenville Learning Center Greenville,Pitt,Secular,"$92,045 "
Greenville Montessori School Winterville,Pitt,Secular,"$174,741 "
Oakwood School Greenville,Pitt,Secular,"$881,914 "
Walton Academy Greenville,Pitt,Secular,"$182,582 "
Foothills Academy Columbus,Polk,Secular,"$274,730 "
Essie Academy Salisbury,Rowan,Secular,"$224,412 "
Yadkin Path Montessori Salisbury,Rowan,Secular,"$61,238 "
Yadkin Valley Community School Elkin,Surry,Secular,"$268,678 "
Mountain Sun Community School Brevard,Transylvania,Secular,"$301,332 "
Thales Academy of Waxhaw Waxhaw,Union,Secular,"$846,214 "
The Learning Habitat Indian Trail,Union,Secular,"$370,696 "
Kerr Vance Academy Henderson,Vance,Secular,"$609,640 "
Accelerator School Morrisville,Wake,Secular,"$94,648 "
Chesterbrook Academy of Cary Cary,Wake,Secular,"$103,418 "
Chesterbrook Academy-North Raleigh Raleigh,Wake,Secular,"$49,475 "
Coast to Mountains Preparatory Academy Apex,Wake,Secular,"$777,146 "
Dynamic Opportunities Rolesville,Wake,Secular,"$114,633 "
Fletcher Academy Raleigh,Wake,Secular,"$345,267 "
Follow the Child Montessori School Raleigh,Wake,Secular,"$94,124 "
Learn with the Best School Raleigh,Wake,Secular,"$63,851 "
Lecole-French School Raleigh,Wake,Secular,"$100,054 "
Lemmon Tree Academy Raleigh,Wake,Secular,"$49,849 "
Lucy Daniels Center Cary,Wake,Secular,"$13,444 "
Mariposa School Cary,Wake,Secular,"$7,468 "
Montessori Children's House of Wake Forest Wake Forest,Wake,Secular,"$2,050 "
Montessori School of Raleigh Raleigh,Wake,Secular,"$229,044 "
New School Montessori Center Holly Springs,Wake,Secular,"$219,070 "
Raleigh Day School Raleigh,Wake,Secular,"$79,910 "
Thales Academy of Apex JH/HS Apex,Wake,Secular,"$1,478,547 "
Thales Academy of Apex K-5 Apex,Wake,Secular,"$1,527,440 "
Thales Academy of Cary Cary,Wake,Secular,"$1,701,625 "
Thales Academy of Holly Springs Holly Springs,Wake,Secular,"$1,956,592 "
Thales Academy of Knightdale Knightdale,Wake,Secular,"$1,962,098 "
Thales Academy of Pittsboro Pittsboro,Wake,Secular,"$1,114,620 "
Thales Academy of Raleigh Raleigh,Wake,Secular,"$1,710,980 "
Thales Academy of Rolesville Rolesville,Wake,Secular,"$1,889,792 "
Thales Academy of Wake Forest Wake Forest,Wake,Secular,"$2,245,800 "
The Ethos School Cary,Wake,Secular,"$55,634 "
Trilogy School Raleigh,Wake,Secular,"$73,370 "
Wake Monarch Academy Raleigh,Wake,Secular,"$16,429 "
Woodmeadows Montessori Raleigh,Wake,Secular,"$68,707 "
Wildwood ALC Boone,Watauga,Secular,"$71,318 "
Wayne Country Day School Goldsboro,Wayne,Secular,"$841,322 "
Wayne Montessori School Goldsboro,Wayne,Secular,"$299,584 "
Great Accomplishments Academy Wilson,Wilson,Secular,"$335,312 "
Greenfield School Wilson,Wilson,Secular,"$1,001,170 "
Level Up Academy Wilson,Wilson,Secular,"$369,298 "
